,price,high,count_agg,low,open,change,date,timestamp
0,116.15,116.33,0,114.76,115.8,0.28,01-01-2017 00:00:00,1483228800.0
1,116.15,116.33,0,114.76,115.8,0.28,02-01-2017 00:00:00,1483315200.0
2,116.15,116.33,0,114.76,115.8,0.28,03-01-2017 00:00:00,1483401600.0
3,116.15,116.33,1,114.76,115.8,0.28,04-01-2017 00:00:00,1483488000.0
4,116.02,116.51,1,115.75,115.85,-0.11,05-01-2017 00:00:00,1483574400.0
5,116.61,116.86,1,115.81,115.92,0.51,06-01-2017 00:00:00,1483660800.0
6,117.91,118.16,1,116.47,116.78,1.11,07-01-2017 00:00:00,1483747200.0
7,118.27,118.5833333333,0,116.96,117.17,1.0466666667,08-01-2017 00:00:00,1483833600.0
8,118.63,119.0066666667,0,117.45,117.56,0.9833333333000001,09-01-2017 00:00:00,1483920000.0
9,118.99,119.43,1,117.94,117.95,0.92,10-01-2017 00:00:00,1484006400.0
10,119.11,119.38,1,118.3,118.77,0.1,11-01-2017 00:00:00,1484092800.0
11,119.75,119.93,1,118.6,118.74,0.54,12-01-2017 00:00:00,1484179200.0
12,119.25,119.3,1,118.21,118.89,-0.42,13-01-2017 00:00:00,1484265600.0
13,119.04,119.62,1,118.81,119.11,-0.18,14-01-2017 00:00:00,1484352000.0
14,119.28,119.775,0,118.6625,118.9175,0.0675,15-01-2017 00:00:00,1484438400.0
15,119.52,119.93,0,118.515,118.725,0.315,16-01-2017 00:00:00,1484524800.0
16,119.76,120.085,0,118.3675,118.5325,0.5625,17-01-2017 00:00:00,1484611200.0
17,120.0,120.24,1,118.22,118.34,0.81,18-01-2017 00:00:00,1484697600.0
18,119.99,120.5,1,119.71,120.0,-0.01,19-01-2017 00:00:00,1484784000.0
19,119.78,120.09,1,119.37,119.4,-0.18,20-01-2017 00:00:00,1484870400.0
20,120.0,120.45,1,119.73,120.45,0.18,21-01-2017 00:00:00,1484956800.0
21,120.0266666667,120.57,0,119.7433333333,120.3,0.1433333333,22-01-2017 00:00:00,1485043200.0
22,120.0533333333,120.69,0,119.7566666667,120.15,0.10666666670000001,23-01-2017 00:00:00,1485129600.0
23,120.08,120.81,1,119.77,120.0,0.07,24-01-2017 00:00:00,1485216000.0
24,119.97,120.1,1,119.5,119.55,-0.09,25-01-2017 00:00:00,1485302400.0
25,121.88,122.1,1,120.28,120.42,1.5899999999999999,26-01-2017 00:00:00,1485388800.0
26,121.94,122.44,1,121.6,121.67,0.05,27-01-2017 00:00:00,1485475200.0
27,121.95,122.35,1,121.6,122.14,0.01,28-01-2017 00:00:00,1485561600.0
28,121.8433333333,122.11,0,121.2866666667,121.7366666667,-0.08,29-01-2017 00:00:00,1485648000.0
29,121.7366666667,121.87,0,120.9733333333,121.3333333333,-0.17,30-01-2017 00:00:00,1485734400.0
30,121.63,121.63,1,120.66,120.93,-0.26,31-01-2017 00:00:00,1485820800.0
31,121.35,121.39,1,120.62,121.15,-0.23,01-02-2017 00:00:00,1485907200.0
32,128.75,130.49,1,127.01,127.03,6.1,02-02-2017 00:00:00,1485993600.0
33,128.53,129.39,1,127.78,127.97,-0.17,03-02-2017 00:00:00,1486080000.0
34,129.08,129.19,1,128.16,128.31,0.43,04-02-2017 00:00:00,1486166400.0
35,129.4833333333,129.6266666667,0,128.4066666667,128.5833333333,0.6000000000000001,05-02-2017 00:00:00,1486252800.0
36,129.8866666667,130.0633333333,0,128.6533333333,128.8566666667,0.77,06-02-2017 00:00:00,1486339200.0
37,130.29,130.5,1,128.9,129.13,0.9400000000000001,07-02-2017 00:00:00,1486425600.0
38,131.53,132.09,1,130.45,130.54,0.9500000000000001,08-02-2017 00:00:00,1486512000.0
39,132.04,132.22,1,131.22,131.35,0.39,09-02-2017 00:00:00,1486598400.0
40,132.42,132.44,1,131.12,131.65,0.29,10-02-2017 00:00:00,1486684800.0
41,132.12,132.94,1,132.05,132.46,-0.23,11-02-2017 00:00:00,1486771200.0
42,132.51,133.2333333333,0,132.2833333333,132.6666666667,0.1433333333,12-02-2017 00:00:00,1486857600.0
43,132.9,133.5266666667,0,132.5166666667,132.8733333333,0.5166666667,13-02-2017 00:00:00,1486944000.0
44,133.29,133.82,1,132.75,133.08,0.89,14-02-2017 00:00:00,1487030400.0
45,135.02,135.09,1,133.25,133.47,1.3,15-02-2017 00:00:00,1487116800.0
46,135.51,136.27,1,134.62,135.52,0.36,16-02-2017 00:00:00,1487203200.0
47,135.34,135.9,1,134.84,135.67,-0.13,17-02-2017 00:00:00,1487289600.0
48,135.72,135.83,1,135.1,135.1,0.28,18-02-2017 00:00:00,1487376000.0
49,135.965,136.06,0,135.32,135.3825,0.39,19-02-2017 00:00:00,1487462400.0
50,136.21,136.29,0,135.54,135.665,0.5,20-02-2017 00:00:00,1487548800.0
51,136.455,136.52,0,135.76,135.9475,0.61,21-02-2017 00:00:00,1487635200.0
52,136.7,136.75,1,135.98,136.23,0.72,22-02-2017 00:00:00,1487721600.0
