,date,volume,price,high,low,open,change,timestamp,FOXBUSINES.text_COUNT_last1days:microsoft,FOXBUSINES.text_last1days:microsoft,transformedDoc
0,02-01-2013 16:00:00,52.91M,27.62,27.73,27.15,27.25,3.41%,1357142400.0,0,[],
1,03-01-2013 16:00:00,48.30M,27.25,27.65,27.16,27.63,-1.34%,1357228800.0,2,"['stocks ease after yesterdays big rally economy back in focus ', 'the most searched stocks of 2012 and the news that drove them: ']",stocks ease after yesterdays big rally economy back in focus the most searched stocks of 2012 and the news that drove them: 
2,04-01-2013 16:00:00,52.52M,26.74,27.34,26.73,27.27,-1.87%,1357315200.0,2,"['stocks mildly lower as traders mull mostly inline jobs data_ dow -4_6 pts_ ', 'strong january for stocks it could serve as a bullish omen for the entire year ']",stocks mildly lower as traders mull mostly inline jobs data_ dow -4_6 pts_ strong january for stocks it could serve as a bullish omen for the entire year 
3,07-01-2013 16:00:00,37.12M,26.69,26.88,26.64,26.77,-0.19%,1357574400.0,1,['stock futures edge lower after last weeks surge dow futures 20 pts '],stock futures edge lower after last weeks surge dow futures 20 pts 
4,08-01-2013 16:00:00,44.70M,26.55,26.79,26.46,26.75,-0.52%,1357660800.0,0,[],
5,09-01-2013 16:00:00,49.05M,26.7,26.75,26.56,26.72,0.56%,1357747200.0,0,[],
6,10-01-2013 16:00:00,71.43M,26.46,26.98,26.29,26.65,-0.90%,1357833600.0,0,[],
7,11-01-2013 16:00:00,55.52M,26.83,26.93,26.28,26.49,1.40%,1357920000.0,0,[],
8,14-01-2013 16:00:00,48.32M,26.89,27.08,26.76,26.9,0.22%,1358179200.0,0,[],
9,15-01-2013 16:00:00,48.24M,27.21,27.29,26.82,26.83,1.19%,1358265600.0,1,['stock futures mildly lower this morning heres a look at what to expect for the trading day '],stock futures mildly lower this morning heres a look at what to expect for the trading day 
10,16-01-2013 16:00:00,41.08M,27.04,27.23,27.01,27.15,-0.62%,1358352000.0,1,"['stocks kick off the day in the red, with boeing dragging heavily on the dow_ dow -56 pts_ ']","stocks kick off the day in the red, with boeing dragging heavily on the dow_ dow -56 pts_ "
11,17-01-2013 16:00:00,51.69M,27.25,27.47,27.06,27.19,0.78%,1358438400.0,2,"['stocks are off to a strong start on upbeat economic data_ dow +38 pts_ ', 'stocks set to open higher as jobless claims fall to levels not seen in 5 years heres what to expect today ']",stocks are off to a strong start on upbeat economic data_ dow +38 pts_ stocks set to open higher as jobless claims fall to levels not seen in 5 years heres what to expect today 
12,18-01-2013 16:00:00,52.17M,27.25,27.29,27.04,27.1,0.00%,1358524800.0,1,['stocks are in search of direction as the dow eyes its highest mark in 5 years_ dow +3_9 pts_ '],stocks are in search of direction as the dow eyes its highest mark in 5 years_ dow +3_9 pts_ 
13,22-01-2013 16:00:00,58.66M,27.15,27.45,27.0,27.3,-0.37%,1358870400.0,1,['stocks in search of direction as traders parse through earnings_ '],stocks in search of direction as traders parse through earnings_ 
14,23-01-2013 16:00:00,50.39M,27.61,27.64,27.2,27.2,1.69%,1358956800.0,0,[],
15,24-01-2013 16:00:00,101.74M,27.63,28.07,27.47,27.7,0.07%,1359043200.0,0,[],
16,25-01-2013 16:00:00,81.85M,27.88,28.23,27.39,27.58,0.90%,1359129600.0,0,[],
17,28-01-2013 16:00:00,56.06M,27.91,28.23,27.76,28.01,0.11%,1359388800.0,1,"['stocks open flat as traders mull strong durable goods data, caterpillar earnings_ ']","stocks open flat as traders mull strong durable goods data, caterpillar earnings_ "
18,29-01-2013 16:00:00,49.25M,28.01,28.13,27.6,27.82,0.36%,1359475200.0,1,"['stocks in search of direction with earnings, data in the spotlight_ dow +11 pts_ ']","stocks in search of direction with earnings, data in the spotlight_ dow +11 pts_ "
19,30-01-2013 16:00:00,43.59M,27.85,28.19,27.76,28.01,-0.57%,1359561600.0,0,[],
20,31-01-2013 16:00:00,50.54M,27.45,27.97,27.4,27.79,-1.44%,1359648000.0,0,[],
21,01-02-2013 16:00:00,55.57M,27.93,28.05,27.55,27.67,1.75%,1359734400.0,2,"['stocks are rallying as traders grow more bullish on the global economy_ dow +80 points_ ', 'stock futures are rallying with the key monthly jobs report just minutes away_ dow futures +77 pts_ ']",stocks are rallying as traders grow more bullish on the global economy_ dow +80 points_ stock futures are rallying with the key monthly jobs report just minutes away_ dow futures +77 pts_ 
22,04-02-2013 16:00:00,50.54M,27.44,28.02,27.42,27.87,-1.75%,1359993600.0,1,['stocks sink as eurozone worries flare up_ '],stocks sink as eurozone worries flare up_ 
